Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;Status;Versch.;Stadion;Zus.;TV/Online;Id;Liga;Region;Phase
Di;23.10.2018;19:45;Fribourg-Gottéron;HC Ambri-Piotta; 3:2; 1:2|1:0|0:0|1:0;OT;Ende;False;BCF Arena, 1700 Fribourg FR;6150;MYSPORTS;20191105000068;NL;CH;Regular Season
Di;23.10.2018;19:45;SC Rapperswil-Jona Lakers;Genève-Servette HC; 4:3; 1:2|2:0|1:1;;Ende;False;St.Galler Kantonalbank Arena, 8640 Rapperswil SG;2874;MYSPORTS;20191105000069;NL;CH;Regular Season
Di;23.10.2018;19:45;HC Lugano;EV Zug; 0:1; 0:1|0:0|0:0;;Ende;False;Cornèr Arena, 6948 Porza Ti;5887;MYSPORTS,MYSPORTSONE;20191105000070;NL;CH;Regular Season
Di;23.10.2018;19:45;SCL Tigers;Lausanne HC; 4:3; 1:1|1:1|2:1;;Ende;False;Ilfishalle, 3550 Langnau im Emmental BE;5160;MYSPORTS;20191105000071;NL;CH;Regular Season
Di;23.10.2018;19:45;ZSC Lions;EHC Biel-Bienne; 3:6; 0:2|0:0|3:4;;Ende;False;Hallenstadion, 8050 Zürich ZH;8805;MYSPORTS;20191105000072;NL;CH;Regular Season
Fr;26.10.2018;19:45;SC Bern;Fribourg-Gottéron; 6:2; 2:1|2:1|2:0;;Ende;False;PostFinance-Arena, 3014 Bern BE;16475;MYSPORTS;20191105000073;NL;CH;Regular Season
Fr;26.10.2018;19:45;EHC Biel-Bienne;Lausanne HC; 1:2; 0:0|1:1|0:1;;Ende;False;Tissot Arena, 2504 Biel/Bienne BE;6003;MYSPORTS,MYSPORTSONE;20191105000074;NL;CH;Regular Season
Fr;26.10.2018;19:45;SC Rapperswil-Jona Lakers;ZSC Lions; 0:1; 0:1|0:0|0:0;;Ende;False;St.Galler Kantonalbank Arena, 8640 Rapperswil SG;4332;MYSPORTS,MYSPORTSONE;20191105000075;NL;CH;Regular Season
Fr;26.10.2018;19:45;HC Lugano;HC Davos; 5:2; 1:1|0:0|4:1;;Ende;False;Cornèr Arena, 6948 Porza Ti;6072;MYSPORTS;20191105000076;NL;CH;Regular Season
Sa;27.10.2018;19:45;HC Ambri-Piotta;EV Zug; 2:3; 0:1|0:0|2:1|0:1;SO;Ende;False;Stadio Valascia, 6775 Ambri TI;5837;MYSPORTS;20191105000079;NL;CH;Regular Season
Sa;27.10.2018;19:45;HC Davos;HC Lugano; 1:6; 0:2|0:1|1:3;;Ende;False;Vaillant Arena, 7270 Davos-Platz GR;4372;MYSPORTS;20191105000080;NL;CH;Regular Season
Sa;27.10.2018;19:45;Fribourg-Gottéron;SC Bern; 3:0; 0:0|3:0|0:0;;Ende;False;BCF Arena, 1700 Fribourg FR;6345;MYSPORTS,MYSPORTSONE;20191105000081;NL;CH;Regular Season
Sa;27.10.2018;19:45;Genève-Servette HC;SCL Tigers; 2:6; 1:2|1:2|0:2;;Ende;False;Les Vernets, 1227 Les Acacias GE;5834;MYSPORTS;20191105000082;NL;CH;Regular Season
Sa;27.10.2018;19:45;Lausanne HC;EHC Biel-Bienne; 4:2; 0:0|2:1|2:1;;Ende;False;Centre Sportif Malley, 1008 Lausanne VD;6226;MYSPORTS;20191105000083;NL;CH;Regular Season
