Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;Status;Versch.;Stadion;Zus.;Id;Liga;Region;Phase
Fr;29.09.2017;19:56;SC Bern;HC Davos; 3:2; 1:0|1:1|1:1;;Ende;False;PostFinance-Arena, 3014 Bern BE;16626;20181105000044;NL;CH;Regular Season
Sa;30.09.2017;19:45;EHC Biel-Bienne;HC Ambri-Piotta; 6:2; 3:0|2:2|1:0;;Ende;False;Tissot Arena, 2504 Biel/Bienne BE;5019;20181105000049;NL;CH;Regular Season
Sa;30.09.2017;19:45;HC Davos;Fribourg-Gottéron; 3:0; 1:0|2:0|0:0;;Ende;False;Vaillant Arena, 7270 Davos-Platz GR;4467;20181105000050;NL;CH;Regular Season
Sa;30.09.2017;19:45;ZSC Lions;EHC Kloten; 3:0; 1:0|1:0|1:0;;Ende;False;Hallenstadion, 8050 Zürich ZH;9104;20181105000053;NL;CH;Regular Season
Sa;30.09.2017;19:45;EV Zug;SC Bern; 3:6; 3:2|0:0|0:4;;Ende;False;BOSSARD Arena, 6303 Zug;7200;20181105000054;NL;CH;Regular Season
Sa;30.09.2017;19:53;HC Lugano;SCL Tigers; 3:1; 1:1|1:0|1:0;;Ende;False;Piste Resega, 6948 Porza Ti;5676;20181105000052;NL;CH;Regular Season
Di;03.10.2017;19:45;Fribourg-Gottéron;Genève-Servette HC; 5:2; 1:0|3:1|1:1;;Ende;False;BCF Arena, 1700 Fribourg FR;4962;20181105000105;NL;CH;Regular Season
Fr;06.10.2017;19:45;HC Ambri-Piotta;EV Zug; 1:4; 0:0|0:1|1:3;;Ende;False;Stadio Valascia, 6775 Ambri TI;3721;20181105000055;NL;CH;Regular Season
Fr;06.10.2017;19:45;SC Bern;EHC Kloten; 9:2; 4:0|4:0|1:2;;Ende;False;PostFinance-Arena, 3014 Bern BE;16073;20181105000056;NL;CH;Regular Season
Fr;06.10.2017;19:45;EHC Biel-Bienne;HC Davos; 2:3; 0:0|0:2|2:1;;Ende;False;Tissot Arena, 2504 Biel/Bienne BE;5375;20181105000057;NL;CH;Regular Season
Fr;06.10.2017;19:45;Genève-Servette HC;HC Lugano; 0:4; 0:1|0:0|0:3;;Ende;False;Les Vernets, 1227 Les Acacias GE;6201;20181105000058;NL;CH;Regular Season
Fr;06.10.2017;19:45;SCL Tigers;Fribourg-Gottéron; 3:2; 1:0|1:2|1:0;;Ende;False;Ilfishalle, 3550 Langnau im Emmental BE;6000;20181105000059;NL;CH;Regular Season
Sa;07.10.2017;19:45;HC Davos;ZSC Lions; 4:1; 1:0|1:1|2:0;;Ende;False;Vaillant Arena, 7270 Davos-Platz GR;5161;20181105000061;NL;CH;Regular Season
Sa;07.10.2017;19:45;Fribourg-Gottéron;SC Bern; 4:5; 1:0|2:2|1:2|0:1;OT;Ende;False;BCF Arena, 1700 Fribourg FR;6500;20181105000062;NL;CH;Regular Season
Sa;07.10.2017;19:45;EHC Kloten;HC Ambri-Piotta; 1:5; 0:1|1:1|0:3;;Ende;False;SWISS Arena, 8302 Kloten ZH;5036;20181105000063;NL;CH;Regular Season
Sa;07.10.2017;19:45;Lausanne HC;SCL Tigers; 3:4; 1:2|2:1|0:0|0:1;OT;Ende;False;Centre Sportif Malley, 1008 Lausanne VD;5780;20181105000064;NL;CH;Regular Season
Sa;07.10.2017;19:45;HC Lugano;EHC Biel-Bienne; 5:2; 2:0|1:1|2:1;;Ende;False;Piste Resega, 6948 Porza Ti;5473;20181105000065;NL;CH;Regular Season
Sa;07.10.2017;19:45;EV Zug;Genève-Servette HC; 2:0; 0:0|1:0|1:0;;Ende;False;BOSSARD Arena, 6303 Zug;7061;20181105000066;NL;CH;Regular Season
Mo;09.10.2017;19:45;ZSC Lions;HC Ambri-Piotta; 6:1; 3:0|1:0|2:1;;Ende;False;Hallenstadion, 8050 Zürich ZH;7959;20181105000108;NL;CH;Regular Season
Di;10.10.2017;18:45;Lausanne HC;Genève-Servette HC; 8:4; 1:2|3:2|4:0;;Ende;False;Centre Sportif Malley, 1008 Lausanne VD;6446;20181105000051;NL;CH;Regular Season
Do;12.10.2017;19:45;Genève-Servette HC;HC Ambri-Piotta; 0:3; 0:1|0:0|0:2;;Ende;False;Les Vernets, 1227 Les Acacias GE;5358;20181105000074;NL;CH;Regular Season
Fr;13.10.2017;19:45;HC Ambri-Piotta;Lausanne HC; 2:1; 2:1|0:0|0:0;;Ende;False;Stadio Valascia, 6775 Ambri TI;4651;20181105000067;NL;CH;Regular Season
Fr;13.10.2017;19:45;SC Bern;ZSC Lions; 4:3; 0:1|3:1|0:1|1:0;OT;Ende;False;PostFinance-Arena, 3014 Bern BE;16342;20181105000068;NL;CH;Regular Season
Fr;13.10.2017;19:45;Fribourg-Gottéron;HC Lugano; 1:4; 0:1|1:1|0:2;;Ende;False;BCF Arena, 1700 Fribourg FR;5754;20181105000070;NL;CH;Regular Season
Fr;13.10.2017;19:45;EHC Kloten;Genève-Servette HC; 1:2; 0:1|0:1|1:0;;Ende;False;SWISS Arena, 8302 Kloten ZH;4429;20181105000071;NL;CH;Regular Season
Fr;13.10.2017;19:45;EV Zug;EHC Biel-Bienne; 3:2; 0:0|1:0|1:2|1:0;OT;Ende;False;BOSSARD Arena, 6303 Zug;7046;20181105000072;NL;CH;Regular Season
Sa;14.10.2017;19:45;EHC Biel-Bienne;EHC Kloten; 4:2; 2:0|1:2|1:0;;Ende;False;Tissot Arena, 2504 Biel/Bienne BE;4764;20181105000073;NL;CH;Regular Season
Sa;14.10.2017;19:45;HC Lugano;HC Davos; 4:3; 1:2|1:1|2:0;;Ende;False;Piste Resega, 6948 Porza Ti;6062;20181105000076;NL;CH;Regular Season
Sa;14.10.2017;19:45;SCL Tigers;SC Bern; 0:2; 0:1|0:1|0:0;;Ende;False;Ilfishalle, 3550 Langnau im Emmental BE;6000;20181105000077;NL;CH;Regular Season
Sa;14.10.2017;19:45;ZSC Lions;EV Zug; 7:3; 4:1|1:1|2:1;;Ende;False;Hallenstadion, 8050 Zürich ZH;9149;20181105000078;NL;CH;Regular Season
So;15.10.2017;15:45;HC Davos;SCL Tigers; 4:3; 2:1|2:0|0:2;;Ende;False;Vaillant Arena, 7270 Davos-Platz GR;4409;20181105000069;NL;CH;Regular Season
So;15.10.2017;15:45;Lausanne HC;Fribourg-Gottéron; 3:2; 1:0|1:1|0:1|1:0;SO;Ende;False;Centre Sportif Malley, 1008 Lausanne VD;6700;20181105000075;NL;CH;Regular Season
Di;17.10.2017;19:45;HC Ambri-Piotta;SC Bern; 0:1; 0:0|0:0|0:1;;Ende;False;Stadio Valascia, 6775 Ambri TI;4100;20181105000079;NL;CH;Regular Season
Di;17.10.2017;19:45;Fribourg-Gottéron;EHC Biel-Bienne; 6:2; 1:2|4:0|1:0;;Ende;False;BCF Arena, 1700 Fribourg FR;5550;20181105000080;NL;CH;Regular Season
Di;17.10.2017;19:45;Genève-Servette HC;HC Davos; 3:0; 1:0|1:0|1:0;;Ende;False;Les Vernets, 1227 Les Acacias GE;4869;20181105000081;NL;CH;Regular Season
Di;17.10.2017;19:45;EHC Kloten;HC Lugano; 3:1; 1:0|2:1|0:0;;Ende;False;SWISS Arena, 8302 Kloten ZH;5242;20181105000082;NL;CH;Regular Season
Di;17.10.2017;19:45;SCL Tigers;ZSC Lions; 3:2; 0:2|3:0|0:0;;Ende;False;Ilfishalle, 3550 Langnau im Emmental BE;5143;20181105000084;NL;CH;Regular Season
Di;17.10.2017;20:15;Lausanne HC;EV Zug; 1:0; 1:0|0:0|0:0;;Ende;False;Centre Sportif Malley, 1008 Lausanne VD;5678;20181105000083;NL;CH;Regular Season
Do;19.10.2017;19:45;ZSC Lions;HC Lugano; 4:1; 1:0|2:1|1:0;;Ende;False;Hallenstadion, 8050 Zürich ZH;8719;20181105000089;NL;CH;Regular Season
