Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;Status;Versch.;Stadion;Zus.;TV/Online;Id;Liga;Region;Phase
Di;16.03.2021;19:45;SC Bern;EHC Biel-Bienne; 2:4; 1:0|1:2|0:2;;Ende;False;PostFinance-Arena, 3014 Bern BE;0;MYSPORTS;20211105000296;NL;CH;Regular Season
Di;16.03.2021;19:45;Lausanne HC;HC Davos; 5:3; 2:0|1:1|2:2;;Ende;False;Vaudoise Aréna, 1008 Lausanne VD;0;MYSPORTS;20211105000299;NL;CH;Regular Season
Do;18.03.2021;19:45;SCL Tigers;Lausanne HC; 1:2; 0:1|1:1|0:0;;Ende;True;Ilfishalle, 3550 Langnau im Emmental BE;0;MYSPORTS;20211105000113;NL;CH;Regular Season
Do;18.03.2021;19:45;Genève-Servette HC;SC Bern; 3:4; 0:2|1:1|2:1;;Ende;True;Les Vernets, 1227 Les Acacias GE;0;MYSPORTS;20211105000160;NL;CH;Regular Season
Fr;19.03.2021;19:45;EV Zug;HC Ambri-Piotta; 2:3; 0:1|1:1|1:1;;Ende;True;BOSSARD Arena, 6303 Zug;0;MYSPORTS;20211105000252;NL;CH;Regular Season
Sa;20.03.2021;19:45;SC Bern;HC Lugano; 1:4; 0:2|1:1|0:1;;Ende;True;PostFinance-Arena, 3014 Bern BE;0;MYSPORTS;20211105000068;NL;CH;Regular Season
Sa;20.03.2021;19:45;SCL Tigers;Genève-Servette HC; 3:4; 1:1|2:1|0:1|0:1;OT;Ende;True;Ilfishalle, 3550 Langnau im Emmental BE;0;MYSPORTS;20211105000166;NL;CH;Regular Season
Sa;20.03.2021;19:45;Lausanne HC;EHC Biel-Bienne; 6:5; 1:3|3:1|1:1|1:0;OT;Ende;True;Vaudoise Aréna, 1008 Lausanne VD;0;MYSPORTS;20211105000209;NL;CH;Regular Season
Sa;20.03.2021;19:45;EV Zug;ZSC Lions; 1:2; 0:0|0:1|1:1;;Ende;True;BOSSARD Arena, 6303 Zug;0;MYSPORTS;20211105000288;NL;CH;Regular Season
So;21.03.2021;15:45;SC Bern;HC Lugano; 3:4; 0:0|0:2|3:1|0:1;OT;Ende;True;PostFinance-Arena, 3014 Bern BE;0;MYSPORTS;20211105000218;NL;CH;Regular Season
Di;23.03.2021;19:45;Genève-Servette HC;Lausanne HC; 2:3; 1:0|1:3|0:0;;Ende;True;Les Vernets, 1227 Les Acacias GE;0;MYSPORTS;20211105000147;NL;CH;Regular Season
Di;23.03.2021;19:45;SC Bern;SCL Tigers; 4:1; 3:0|0:0|1:1;;Ende;True;PostFinance-Arena, 3014 Bern BE;0;MYSPORTS;20211105000206;NL;CH;Regular Season
Di;23.03.2021;19:45;Fribourg-Gottéron;EV Zug; 5:7; 1:2|1:3|3:2;;Ende;False;BCF Arena, 1700 Fribourg FR;0;MYSPORTS;20211105000274;NL;CH;Regular Season
Mi;24.03.2021;19:45;EV Zug;Genève-Servette HC; 2:1; 0:0|2:1|0:0;;Ende;True;BOSSARD Arena, 6303 Zug;0;MYSPORTS;20211105000042;NL;CH;Regular Season
Mi;24.03.2021;19:45;SCL Tigers;Lausanne HC; 0:2; 0:0|0:1|0:1;;Ende;True;Ilfishalle, 3550 Langnau im Emmental BE;0;MYSPORTS;20211105000196;NL;CH;Regular Season
Mi;24.03.2021;19:45;ZSC Lions;HC Lugano; 2:3; 0:1|1:2|1:0;;Ende;False;Hallenstadion, 8050 Zürich ZH;0;MYSPORTS;20211105000281;NL;CH;Regular Season
Fr;26.03.2021;19:45;SC Bern;ZSC Lions; 2:3; 0:1|1:0|1:1|0:1;SO;Ende;False;PostFinance-Arena, 3014 Bern BE;0;MYSPORTS;20211105000001;NL;CH;Regular Season
Fr;26.03.2021;19:45;EHC Biel-Bienne;Genève-Servette HC; -:-; ;;Verschoben;True;Tissot Arena, 2504 Biel/Bienne BE;0;MYSPORTS;20211105000002;NL;CH;Regular Season
Fr;26.03.2021;19:45;Fribourg-Gottéron;Lausanne HC; 2:1; 1:0|0:1|0:0|1:0;SO;Ende;False;BCF Arena, 1700 Fribourg FR;0;MYSPORTS;20211105000003;NL;CH;Regular Season
Fr;26.03.2021;19:45;SC Rapperswil-Jona Lakers;HC Davos; 2:4; 0:1|2:2|0:1;;Ende;False;St.Galler Kantonalbank Arena, 8640 Rapperswil SG;0;MYSPORTS;20211105000004;NL;CH;Regular Season
Fr;26.03.2021;19:45;HC Lugano;HC Ambri-Piotta; 6:4; 2:0|1:4|3:0;;Ende;False;Cornèr Arena, 6948 Porza Ti;0;RSI,MYSPORTS;20211105000005;NL;CH;Regular Season
Fr;26.03.2021;19:45;SCL Tigers;EV Zug; 4:5; 0:1|0:2|4:2;;Ende;True;Ilfishalle, 3550 Langnau im Emmental BE;0;MYSPORTS;20211105000293;NL;CH;Regular Season
Sa;27.03.2021;19:45;HC Ambri-Piotta;SC Rapperswil-Jona Lakers; 2:4; 1:0|1:2|0:2;;Ende;False;Stadio Valascia, 6775 Ambri TI;0;MYSPORTS;20211105000007;NL;CH;Regular Season
Sa;27.03.2021;19:45;HC Davos;HC Lugano; 5:6; 0:2|4:3|1:0|0:1;SO;Ende;False;Eisstadion Davos, 7270 Davos-Platz GR;0;MYSPORTS;20211105000008;NL;CH;Regular Season
Sa;27.03.2021;19:45;Genève-Servette HC;Fribourg-Gottéron; 2:3; 0:1|1:2|1:0;;Ende;False;Les Vernets, 1227 Les Acacias GE;0;MYSPORTS;20211105000009;NL;CH;Regular Season
Sa;27.03.2021;19:45;Lausanne HC;EHC Biel-Bienne; -:-; ;;Verschoben;True;Vaudoise Aréna, 1008 Lausanne VD;0;MYSPORTS;20211105000010;NL;CH;Regular Season
Sa;27.03.2021;19:45;SCL Tigers;SC Bern; 4:5; 1:2|2:1|1:2;;Ende;False;Ilfishalle, 3550 Langnau im Emmental BE;0;SRF,RTS,RSI,MYSPORTS;20211105000011;NL;CH;Regular Season
Sa;27.03.2021;19:45;ZSC Lions;EV Zug; 2:6; 1:4|1:1|0:1;;Ende;False;Hallenstadion, 8050 Zürich ZH;0;MYSPORTS;20211105000012;NL;CH;Regular Season
Mo;29.03.2021;19:45;HC Davos;Lausanne HC; 4:3; 2:1|0:1|2:1;;Ende;True;Eisstadion Davos, 7270 Davos-Platz GR;0;MYSPORTS;20211105000212;NL;CH;Regular Season
Di;30.03.2021;19:45;SC Bern;Genève-Servette HC; -:-; ;;Verschoben;True;PostFinance-Arena, 3014 Bern BE;0;MYSPORTS;20211105000013;NL;CH;Regular Season
Di;30.03.2021;19:45;Fribourg-Gottéron;SCL Tigers; 6:2; 2:0|4:1|0:1;;Ende;False;BCF Arena, 1700 Fribourg FR;0;MYSPORTS;20211105000014;NL;CH;Regular Season
Di;30.03.2021;19:45;SC Rapperswil-Jona Lakers;EHC Biel-Bienne; -:-; ;;Verschoben;True;St.Galler Kantonalbank Arena, 8640 Rapperswil SG;0;MYSPORTS;20211105000015;NL;CH;Regular Season
Di;30.03.2021;19:45;HC Lugano;Lausanne HC; 1:3; 1:0|0:3|0:0;;Ende;False;Cornèr Arena, 6948 Porza Ti;0;MYSPORTS;20211105000016;NL;CH;Regular Season
Di;30.03.2021;19:45;ZSC Lions;HC Ambri-Piotta; 4:2; 2:2|1:0|1:0;;Ende;False;Hallenstadion, 8050 Zürich ZH;0;MYSPORTS;20211105000017;NL;CH;Regular Season
Di;30.03.2021;19:45;EV Zug;HC Davos; 4:2; 0:0|1:1|3:1;;Ende;False;BOSSARD Arena, 6303 Zug;0;MYSPORTS;20211105000018;NL;CH;Regular Season
Do;01.04.2021;19:45;SC Bern;SC Rapperswil-Jona Lakers; -:-; ;;Verschoben;True;PostFinance-Arena, 3014 Bern BE;0;MYSPORTS;20211105000019;NL;CH;Regular Season
Do;01.04.2021;19:45;EHC Biel-Bienne;HC Ambri-Piotta; -:-; ;;Verschoben;True;Tissot Arena, 2504 Biel/Bienne BE;0;MYSPORTS;20211105000020;NL;CH;Regular Season
Do;01.04.2021;19:45;HC Davos;ZSC Lions; 2:3; 1:1|1:1|0:1;;Ende;False;Eisstadion Davos, 7270 Davos-Platz GR;0;MYSPORTS;20211105000021;NL;CH;Regular Season
Do;01.04.2021;19:45;Lausanne HC;Genève-Servette HC; 1:5; 0:3|1:1|0:1;;Ende;False;Vaudoise Aréna, 1008 Lausanne VD;0;MYSPORTS;20211105000022;NL;CH;Regular Season
Do;01.04.2021;19:45;HC Lugano;SCL Tigers; 7:3; 0:2|1:0|6:1;;Ende;False;Cornèr Arena, 6948 Porza Ti;0;MYSPORTS;20211105000023;NL;CH;Regular Season
Do;01.04.2021;19:45;EV Zug;Fribourg-Gottéron; 4:0; 0:0|0:0|4:0;;Ende;False;BOSSARD Arena, 6303 Zug;0;MYSPORTS;20211105000024;NL;CH;Regular Season
Sa;03.04.2021;19:45;HC Ambri-Piotta;HC Davos; 2:1; 0:0|1:0|1:1;;Ende;False;Stadio Valascia, 6775 Ambri TI;0;MYSPORTS;20211105000025;NL;CH;Regular Season
Sa;03.04.2021;19:45;Fribourg-Gottéron;SC Bern; -:-; ;;Verschoben;True;BCF Arena, 1700 Fribourg FR;0;MYSPORTS;20211105000026;NL;CH;Regular Season
Sa;03.04.2021;19:45;Genève-Servette HC;EHC Biel-Bienne; 1:5; 1:0|0:0|0:5;;Ende;False;Les Vernets, 1227 Les Acacias GE;0;SRF,RTS,RSI,MYSPORTS;20211105000027;NL;CH;Regular Season
Sa;03.04.2021;19:45;SC Rapperswil-Jona Lakers;HC Lugano; 0:5; 0:1|0:4|0:0;;Ende;False;St.Galler Kantonalbank Arena, 8640 Rapperswil SG;0;MYSPORTS;20211105000028;NL;CH;Regular Season
Sa;03.04.2021;19:45;SCL Tigers;EV Zug; 5:3; 1:1|3:0|1:2;;Ende;False;Ilfishalle, 3550 Langnau im Emmental BE;0;MYSPORTS;20211105000029;NL;CH;Regular Season
Sa;03.04.2021;19:45;ZSC Lions;Lausanne HC; 0:2; 0:0|0:0|0:2;;Ende;False;Hallenstadion, 8050 Zürich ZH;0;MYSPORTS;20211105000030;NL;CH;Regular Season
Mo;05.04.2021;15:45;HC Ambri-Piotta;Fribourg-Gottéron; 2:3; 2:2|0:0|0:1;;Ende;False;Stadio Valascia, 6775 Ambri TI;0;MYSPORTS;20211105000031;NL;CH;Regular Season
Mo;05.04.2021;15:45;Genève-Servette HC;HC Lugano; 5:2; 4:1|1:0|0:1;;Ende;False;Les Vernets, 1227 Les Acacias GE;0;MYSPORTS;20211105000032;NL;CH;Regular Season
Mo;05.04.2021;15:45;HC Davos;SC Bern; -:-; ;;Verschoben;True;Eisstadion Davos, 7270 Davos-Platz GR;0;MYSPORTS;20211105000033;NL;CH;Regular Season
Mo;05.04.2021;15:45;SC Rapperswil-Jona Lakers;Lausanne HC; 7:5; 2:0|0:2|5:3;;Ende;False;St.Galler Kantonalbank Arena, 8640 Rapperswil SG;0;MYSPORTS;20211105000034;NL;CH;Regular Season
Mo;05.04.2021;15:45;SCL Tigers;ZSC Lions; 2:5; 1:2|0:2|1:1;;Ende;False;Ilfishalle, 3550 Langnau im Emmental BE;0;MYSPORTS;20211105000035;NL;CH;Regular Season
Mo;05.04.2021;15:45;EV Zug;EHC Biel-Bienne; 3:1; 0:0|1:1|2:0;;Ende;False;BOSSARD Arena, 6303 Zug;0;MYSPORTS;20211105000036;NL;CH;Regular Season
Mi;07.04.2021;19:45;EHC Biel-Bienne;SC Rapperswil-Jona Lakers; 1:2; 1:1|0:0|0:0|0:1;OT;Ende;False;Tissot Arena, 2504 Biel/Bienne BE;0;MYSPORTS;20211105110001;NL;CH;Pre-Playoff
Mi;07.04.2021;19:45;HC Davos;SC Bern; 3:4; 0:3|2:0|1:0|0:1;OT;Ende;False;Eisstadion Davos, 7270 Davos-Platz GR;0;MYSPORTS;20211105110002;NL;CH;Pre-Playoff
Fr;09.04.2021;19:45;SC Rapperswil-Jona Lakers;EHC Biel-Bienne; 3:1; 0:1|1:0|2:0;;Ende;False;St.Galler Kantonalbank Arena, 8640 Rapperswil SG;0;MYSPORTS;20211105110003;NL;CH;Pre-Playoff
Fr;09.04.2021;19:45;SC Bern;HC Davos; 0:3; 0:1|0:0|0:2;;Ende;False;PostFinance-Arena, 3014 Bern BE;0;MYSPORTS;20211105110004;NL;CH;Pre-Playoff
So;11.04.2021;19:45;HC Davos;SC Bern; 0:3; 0:0|0:1|0:2;;Ende;False;Eisstadion Davos, 7270 Davos-Platz GR;0;MYSPORTS;20211105110006;NL;CH;Pre-Playoff
Di;13.04.2021;20:00;EV Zug;SC Bern; 4:2; 2:1|1:1|1:0;;Ende;False;BOSSARD Arena, 6303 Zug;0;SRF,RTS,RSI,MYSPORTS;20211105000321;NL;CH;Playoff 1/4 Final
Di;13.04.2021;20:00;HC Lugano;SC Rapperswil-Jona Lakers; 6:2; 1:1|1:0|4:1;;Ende;False;Cornèr Arena, 6948 Porza Ti;0;MYSPORTS;20211105000322;NL;CH;Playoff 1/4 Final
Di;13.04.2021;20:00;Fribourg-Gottéron;Genève-Servette HC; 2:1; 1:0|1:0|0:1;;Ende;False;BCF Arena, 1700 Fribourg FR;0;SRF,RTS,RSI,MYSPORTS;20211105000323;NL;CH;Playoff 1/4 Final
