Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;Status;Versch.;Stadion;Zus.;Id;Liga;Region;Phase
Sa;12.09.2015;19:45;SCL Tigers;Genève-Servette HC; 2:3; 0:2|1:0|1:1;;Ende;False;Ilfis Stadion, Langnau;5416;20161105071010;NL A;CH;Regular Season
Sa;12.09.2015;19:45;Lausanne HC;HC Lugano; 3:4; 2:1|0:2|1:0;OT;Ende;False;P. de Malley, Lausanne;6282;20161105071011;NL A;CH;Regular Season
Sa;12.09.2015;19:45;EV Zug;HC Davos; 1:4; 0:0|1:2|0:2;;Ende;False;BOSSARD Arena, Zug;6862;20161105071012;NL A;CH;Regular Season
Di;15.09.2015;19:45;HC Ambri-Piotta;SC Bern; 2:4; 0:1|1:1|1:2;;Ende;False;Stadio Valascia, Ambri;4465;20161105071013;NL A;CH;Regular Season
Di;15.09.2015;19:45;EHC Biel-Bienne;ZSC Lions; 3:2; 1:1|1:0|1:1;;Ende;False;Tissot Arena, Biel-Bienne;5140;20161105071014;NL A;CH;Regular Season
Di;15.09.2015;19:45;Fribourg-Gottéron;Genève-Servette HC; 4:2; 1:0|2:2|1:0;;Ende;False;BCF Arena, Fribourg;5475;20161105071015;NL A;CH;Regular Season
Di;15.09.2015;19:45;SCL Tigers;Lausanne HC; 3:1; 2:0|1:0|0:1;;Ende;False;Ilfis Stadion, Langnau;5184;20161105071016;NL A;CH;Regular Season
Di;15.09.2015;19:45;HC Lugano;HC Davos; 3:4; 1:2|0:0|2:1;OT;Ende;False;Pista Resega, Porza;5112;20161105071017;NL A;CH;Regular Season
Di;15.09.2015;19:45;EV Zug;EHC Kloten; 4:3; 1:0|2:2|1:1;;Ende;False;BOSSARD Arena, Zug;5827;20161105071018;NL A;CH;Regular Season
Fr;18.09.2015;19:45;SC Bern;EV Zug; 2:3; 0:1|1:1|1:1;;Ende;False;PostFinance-Arena, Bern;15456;20161105071019;NL A;CH;Regular Season
Fr;18.09.2015;19:45;HC Davos;HC Ambri-Piotta; 3:4; 1:1|2:1|0:2;;Ende;False;Vaillant Arena, Davos;3890;20161105071020;NL A;CH;Regular Season
Fr;18.09.2015;19:45;EHC Kloten;SCL Tigers; 3:2; 1:0|2:1|0:1;;Ende;False;SWISS Arena, Kloten;3614;20161105071022;NL A;CH;Regular Season
Fr;18.09.2015;19:45;HC Lugano;EHC Biel-Bienne; 1:2; 0:2|1:0|0:0;;Ende;False;Pista Resega, Porza;5063;20161105071023;NL A;CH;Regular Season
Fr;18.09.2015;19:45;ZSC Lions;Fribourg-Gottéron; 3:4; 2:0|1:2|0:1|0:1;SO;Ende;False;Hallenstadion AG, Zürich;8931;20161105071024;NL A;CH;Regular Season
Fr;18.09.2015;19:47;Genève-Servette HC;Lausanne HC; 1:3; 0:1|1:2|0:0;;Ende;False;Les Vernets, Genève;6684;20161105071021;NL A;CH;Regular Season
Sa;19.09.2015;19:45;EHC Biel-Bienne;HC Davos; 5:1; 2:0|2:0|1:1;;Ende;False;Tissot Arena, Biel-Bienne;6521;20161105071026;NL A;CH;Regular Season
Sa;19.09.2015;19:45;Fribourg-Gottéron;SC Bern; 5:3; 2:1|1:0|2:2;;Ende;False;BCF Arena, Fribourg;6700;20161105071027;NL A;CH;Regular Season
Sa;19.09.2015;19:45;SCL Tigers;ZSC Lions; 4:6; 1:3|1:1|2:2;;Ende;False;Ilfis Stadion, Langnau;5917;20161105071028;NL A;CH;Regular Season
Sa;19.09.2015;19:45;Lausanne HC;EHC Kloten; 4:2; 3:0|0:1|1:1;;Ende;False;P. de Malley, Lausanne;5544;20161105071029;NL A;CH;Regular Season
Sa;19.09.2015;19:45;EV Zug;Genève-Servette HC; 3:0; 2:0|0:0|1:0;;Ende;False;BOSSARD Arena, Zug;6446;20161105071030;NL A;CH;Regular Season
Sa;19.09.2015;20:30;HC Ambri-Piotta;HC Lugano; 3:1; 2:0|0:1|1:0;;Ende;False;Stadio Valascia, Ambri;6500;20161105071025;NL A;CH;Regular Season
Do;24.09.2015;19:45;HC Lugano;Genève-Servette HC; 5:1; 2:0|2:1|1:0;;Ende;False;Pista Resega, Porza;4887;20161105071041;NL A;CH;Regular Season
Fr;25.09.2015;19:45;HC Ambri-Piotta;Fribourg-Gottéron; 1:3; 0:2|1:0|0:1;;Ende;False;Stadio Valascia, Ambri;5157;20161105071031;NL A;CH;Regular Season
Fr;25.09.2015;19:45;SCL Tigers;HC Lugano; 3:4; 0:1|2:0|1:2|0:1;SO;Ende;False;Ilfis Stadion, Langnau;5638;20161105071034;NL A;CH;Regular Season
